Observed concentration,Predicted concentration symbolic regression,Predicted concentration Eleveld,Predicted concentration neural network
5.934,3.142849,2.8370144,4.534321
5.63,4.8936095,4.0962195,5.3033056
5.275,4.8991876,3.726071,5.3309183
1.514,1.7802615,1.2294476,2.1007493
11.862,6.56365,5.2422996,7.285248
10.195,6.441785,4.797469,7.0945363
4.653,3.402449,2.7053106,4.1436663
5.127,4.9947333,3.8081908,5.448977
7.158,4.8803506,3.7431743,5.484596
5.788,4.6377053,3.6613271,5.3851337
10.445,10.109501,7.6599865,9.438781
9.872,9.1725855,6.7372813,8.9144125
3.36,3.633994,2.908167,4.381547
8.737,8.198393,6.620038,9.503641
7.895,7.927295,6.4869866,9.608942
4.01,3.639651,3.0342765,4.0428367
7.075,4.735381,3.885347,5.305001
7.165,4.646594,3.6864755,5.321814
9.94,8.675905,6.8307915,9.146671
10.73,8.659282,6.587098,9.179724
3.153,3.3229058,2.3785846,3.861155
6.4,5.737717,5.25869,6.659791
6.754,5.9324594,4.8908186,6.577573
6.549,5.9175906,4.730212,6.546833
5.177,4.8115525,3.3539422,3.893641
5.257,4.3027635,3.00207,3.6041052
4.528,3.9610357,2.8550773,3.694157
19.965,8.090159,7.0722375,9.607092
10.905,7.1468205,5.7003393,8.263613
13.125,4.7676983,4.105927,5.79342
3.365,3.8360777,2.9892378,3.7416975
3.585,3.696393,2.7267828,3.7230551
5.118,4.590108,3.463882,4.8199544
7.172,6.407996,5.167889,7.1661243
6.992,6.369278,4.9029746,7.074055
7.619,7.186157,5.771545,8.637712
12.744,5.6501875,4.8295317,6.377174
7.953,5.794063,4.612552,6.512878
7.306,5.419275,4.336247,6.4608293
3.701,2.9795775,2.6357348,3.6016068
3.951,2.922385,2.3009627,3.6262314
7.167,5.6914706,5.313713,6.8007445
9.672,5.8889065,4.754087,6.6129193
2.334,3.2834008,2.555314,3.9512382
4.673,3.9103415,3.2905002,4.4235835
7.635,5.179982,3.9797225,5.678838
6.329,4.8080063,3.6001663,5.518078
11.015,6.357242,4.928119,6.2430496
8.292,6.274037,4.5479736,6.332755
4.637,4.092282,2.921501,4.3954997
4.966,5.2885747,3.890591,4.699655
4.797,4.999988,3.603642,4.6527715
5.018,4.6867495,3.5672183,4.55362
9.112,10.129991,7.739493,9.386564
9.112,9.707614,7.0529947,8.979185
7.889,6.3991847,4.593658,6.2653985
14.175,8.035074,6.8704066,9.69223
11.017,8.000787,6.577122,9.583917
5.408,4.4084477,3.7377455,5.593321
8.602,8.99216,7.3353734,9.027718
9.066,8.803695,6.53653,8.810918
3.31,3.9329658,3.1398385,4.3045764
9.553,7.1613984,5.7643714,6.9131513
10.944,6.993732,5.1718802,6.433253
8.693,5.2198315,3.7991233,5.0628324
2.3,3.5710895,3.5597975,3.4089425
2.1,2.2325113,2.1253886,2.064888
2.7,2.7545433,2.5673618,2.5477376
2.9,2.8241727,2.6665423,2.6398265
4.3,4.1622033,4.075228,3.9822147
4.7,3.6302607,3.5170655,3.4404364
5.5,4.500755,4.307379,4.2593584
6.0,4.533499,4.3124256,4.2962823
2.1,1.1390145,1.0003576,1.0955201
2.7,3.9192257,3.7333677,3.3463838
1.8,2.7569916,2.7071607,2.4849668
1.6,3.0760858,2.6996253,2.4740222
2.0,3.1747217,2.8170385,2.6113043
2.9,4.143111,3.8820508,3.5778334
3.4,4.098357,3.7321396,3.4655027
3.1,4.1221113,3.6880248,3.4636505
3.1,4.66434,4.169368,3.972032
3.8,5.582342,5.048069,4.79719
1.2,2.0158808,1.5006473,1.6996118
0.9,1.2193303,0.9811297,1.1990019
5.8,4.0621743,3.905417,3.7031121
1.8,2.2493181,2.1771083,2.1947122
3.8,2.8398206,2.436476,2.3210077
3.3,3.0825357,2.77679,2.67168
7.0,4.397187,4.2773576,4.096794
5.5,4.026154,3.761492,3.6469026
7.0,4.9295034,4.582699,4.4504275
1.5,1.4236997,1.1046963,1.2354978
0.8,1.1482797,0.91930825,1.0586662
4.0,4.095127,4.0475016,4.2857504
2.4,1.656035,1.5993866,1.5936782
3.2,2.956836,2.7393262,2.825501
3.6,2.9615471,2.7795594,2.8933854
4.7,5.2783566,5.129545,5.4721336
4.7,3.9633977,3.8111734,4.0225186
1.6,1.8026897,1.5860865,1.6577314
2.8,2.257335,2.1021774,2.2393582
3.1,2.2541635,2.107015,2.237355
3.4,2.2623346,2.119836,2.2406948
2.2,1.7805588,1.6572287,1.7424065
2.4,1.8091093,1.7056048,1.7796367
2.2,1.8370311,1.7287434,1.7887493
1.3,0.81056863,0.6930902,0.6711813
4.5,4.759622,4.485465,3.966761
2.2,2.3783278,2.1264067,1.9944652
2.8,3.5466735,3.030546,2.7698705
3.0,3.6217854,3.181163,2.9408123
4.5,5.0944824,4.853094,4.402885
4.6,4.673297,4.273211,3.9369798
5.0,4.618608,4.122635,3.8462615
4.8,4.6687183,4.1522098,3.9003184
5.0,5.7525992,5.21335,4.9273834
